k,r,y,u,v
0,1.0,0.001257302210933933,0.3198742697789066,0.0
1,1.0,0.15962192802528744,0.4479812285979793,0.0
2,1.0,0.35809238322365244,0.4857823145467255,0.0
3,1.0,0.5304140650238152,0.48556063504364505,0.0
4,1.0,0.6617548758092635,0.47232679818871404,0.0
5,1.0,0.7691832502908627,0.45562873415583516,0.0
6,1.0,0.8562009677619091,0.43941283359393507,0.0
7,1.0,0.9141380006377874,0.42632197505349223,0.0
8,1.0,0.9374340356789062,0.41810148520618107,0.0
9,1.0,0.9463437564357551,0.41351129269920617,0.0
10,1.0,0.9575979068728337,0.41032029102735956,0.0
11,1.0,0.9716517308054192,0.40747895788177,0.0
12,1.0,0.9578105558388321,0.40758447546291343,0.0
13,1.0,0.967852765763197,0.4066277373819915,0.0
14,1.0,0.9651369718290227,0.40646878463899405,0.0
15,1.0,0.9680212962356807,0.4061088234639794,0.0
16,1.0,0.9720288588919612,0.40554608466959474,0.0
17,1.0,0.9772331278846749,0.4047724253128503,0.0
18,1.0,0.9882890203279064,0.40331868935799214,0.0
19,1.0,1.002715694635748,0.4012218407475219,0.0
20,1.0,1.001498129452919,0.4004000153910931,0.0
21,1.0,1.0150631459633788,0.3986736923296542,0.0
22,1.0,1.004735416200664,0.39892961992827813,0.0
23,1.0,1.0067682436256007,0.3988415046051652,0.0
24,1.0,1.0138700490195813,0.3980916721703664,0.0
25,1.0,1.0110819982784571,0.39803305264881933,0.0
26,1.0,1.0004471324536373,0.39907016044660515,0.0
27,1.0,0.9906755324236283,0.40051401895860966,0.0
28,1.0,0.988220177161534,0.40140929081522114,0.0
29,1.0,0.9934827383715382,0.40128590702969585,0.0
30,1.0,0.9853329623766912,0.4020453619256942,0.0
31,1.0,0.987197295115483,0.40220068335501424,0.0
32,1.0,0.9892659276707488,0.40206371474268165,0.0
33,1.0,0.997853055354798,0.4011433660987271,0.0
34,1.0,1.0010007185582654,0.40041444288860084,0.0
35,1.0,1.004561523381312,0.39973034696173937,0.0
36,1.0,0.9969761060917359,0.4001810455236093,0.0
37,1.0,0.9963752712982656,0.4004439433557978,0.0
38,1.0,1.0051619434171248,0.39968358016839667,0.0
39,1.0,1.018905656270106,0.39796704544876804,0.0
40,1.0,1.0015173924194276,0.398933431210003,0.0
41,1.0,1.0158198672879342,0.3979380573157081,0.0
42,1.0,1.0250836767260245,0.3965637581194663,0.0
43,1.0,1.0261619344475572,0.3958374977090043,0.0
